From_Date,To_Date,From_Place,To_Place,No_of_Person,Vehicle_Types,Cost
06-12-2024,26-12-2024,Rajapalayam,Kadapa,4,Car,829
30-09-2024,04-01-2025,Vijayawada,Valliyur,2,Bus,767
22-10-2024,05-11-2024,Chidambaram,Erode,3,Bus,833
20-10-2024,26-10-2024,Namakkal,Narasapuram,1,Bus,908
26-11-2024,28-12-2024,Chennai Suburbs,Nellore,1,Bus,830
27-11-2024,30-11-2024,Tuni,Thanjavur,5,Bus,867
09-11-2024,18-11-2024,Tuni,Amaravati,1,Train,1017
12-12-2024,04-01-2025,Pollachi,Tadepalligudem,4,Bus,867
12-10-2024,17-10-2024,Tanuku,Virudhunagar,4,Bus,997
07-10-2024,24-11-2024,Tuni,Rajapalayam,2,Car,757
29-11-2024,05-01-2025,Tenali,Sathyamangalam,2,Bus,818
21-10-2024,15-11-2024,Valliyur,Markapur,3,Car,783
23-11-2024,25-11-2024,Vikramasingapuram,Chennai,1,Bus,913
03-11-2024,10-11-2024,Kovilpatti,Mettur,4,Car,998
21-12-2024,31-12-2024,Thoothukudi,Mettur,3,Train,949
12-10-2024,26-10-2024,Ongole,Hindupur,2,Train,911
09-10-2024,17-12-2024,Hosur,Bhimavaram,5,Bus,789
18-10-2024,25-12-2024,Tadepalligudem,Madurai,2,Bus,807
21-10-2024,20-11-2024,Valliyur,Valliyur,1,Car,857
18-10-2024,31-10-2024,Pudukkottai,Coonoor,4,Train,894
23-10-2024,30-11-2024,Nandyal,Adoni,3,Bus,884
28-10-2024,06-12-2024,Tirupati,Anakapalle,1,Bus,880
04-12-2024,20-12-2024,Tanjore,Madurai,1,Bus,883
31-10-2024,12-11-2024,Kadapa,Tirupur,4,Car,801
05-12-2024,21-12-2024,Bargur,Karaikudi,2,Bus,767
30-09-2024,25-12-2024,Mettur,Mettur,2,Train,790
07-11-2024,08-12-2024,Sankarankovil,Sathyamangalam,2,Bus,753
19-10-2024,25-10-2024,Proddatur,Erode,3,Car,920
17-11-2024,15-12-2024,Erode,Puducherry,5,Train,903
09-10-2024,24-11-2024,Narasaraopet,Chilakaluripet,3,Bus,886
20-11-2024,03-12-2024,Narasaraopet,Papanasam,1,Bus,897
12-10-2024,18-10-2024,Karaikal,Tanuku,1,Train,911
02-10-2024,30-10-2024,Nagercoil,Anakapalle,4,Bus,874
15-11-2024,12-12-2024,Vijayawada,Virudhunagar,5,Bus,759
13-11-2024,06-01-2025,Rajahmundry,Thirupur,3,Train,888
05-10-2024,20-11-2024,Kakinada,Kanyakumari,5,Car,1027
02-11-2024,21-11-2024,Kanyakumari,Karaikal,1,Bus,932
07-12-2024,21-12-2024,Rameswaram,Madurai,4,Bus,1015
06-10-2024,12-11-2024,Anakapalle,Tanuku,4,Car,907
07-10-2024,22-10-2024,Rajahmundry,Bargur,1,Car,777
07-10-2024,08-11-2024,Nellore,Vellore,2,Car,886
14-10-2024,28-10-2024,Rameswaram,Narasapuram,4,Bus,851
23-10-2024,13-12-2024,Cuddalore,Anakapalle,5,Bus,810
08-11-2024,10-11-2024,Rajahmundry,Eluru,1,Bus,795
31-12-2024,04-01-2025,Puducherry,Nandyal,3,Bus,769
18-10-2024,03-01-2025,Madurai,Madanapalle,2,Bus,785
25-12-2024,29-12-2024,Perambalur,Anakapalle,3,Car,855
09-11-2024,20-11-2024,Kadapa,Bargur,3,Bus,1033
13-11-2024,27-12-2024,Valliyur,Nagapattinam,2,Train,798
15-11-2024,02-01-2025,Vinukonda,Tirupati,5,Train,895
10-11-2024,13-12-2024,Vikramshila,Kadapa,5,Car,905
13-10-2024,11-11-2024,Eluru,Rameswaram,1,Bus,1003
09-11-2024,14-11-2024,Markapur,Vinukonda,1,Bus,911
17-10-2024,19-11-2024,Rameswaram,Ambur,4,Train,793
02-10-2024,25-10-2024,Dindigul,Dindigul,4,Bus,824
02-12-2024,31-12-2024,Muthur,Virudhunagar,1,Train,767
09-11-2024,10-12-2024,Tekkali,Tadepalligudem,2,Bus,1010
19-11-2024,22-11-2024,Karaikal,Tuni,5,Bus,821
28-11-2024,30-12-2024,Sullurpet,Kurnool,5,Bus,824
02-10-2024,10-11-2024,Machilipatnam,Namakkal,4,Car,852
28-11-2024,30-12-2024,Ambur,Ongole,4,Bus,756
16-11-2024,16-12-2024,Vellore,Tuni,3,Train,1019
01-10-2024,24-11-2024,Sankarankovil,Madanapalle,2,Train,833
01-11-2024,02-11-2024,Mettur,Tiruchirappalli,3,Bus,884
28-12-2024,31-12-2024,Coimbatore,Sattenapalle,3,Car,898
02-10-2024,17-11-2024,Valliyur,Markapur,5,Bus,758
30-10-2024,17-12-2024,Sivagangai,Bhimavaram,3,Bus,755
06-10-2024,03-12-2024,Tanjore,Arakkonam,1,Bus,909
20-11-2024,09-12-2024,Kanchipuram,Eluru,1,Bus,814
10-11-2024,24-12-2024,Guntur,Machilipatnam,4,Bus,931
19-12-2024,03-01-2025,Thirupur,Thoothukudi,3,Bus,779
26-10-2024,14-12-2024,Vikramasingapuram,Madhuranthagam,1,Bus,975
26-10-2024,06-12-2024,Tanuku,Alangudi,3,Bus,959
21-10-2024,19-11-2024,Hosur,Vijayawada,3,Bus,793
04-11-2024,05-12-2024,Tanuku,Markapur,5,Bus,765
12-12-2024,30-12-2024,Tiruchirappalli,Tadepalligudem,1,Train,874
10-10-2024,27-11-2024,Vizianagaram,Madurai,2,Bus,826
17-10-2024,11-11-2024,Papanasam,Vikramasingapuram,1,Bus,889
12-10-2024,03-12-2024,Rajahmundry,Gudivada,1,Train,993
26-10-2024,30-12-2024,Tirunelveli,Kallakurichi,5,Bus,986
08-10-2024,22-10-2024,Tirunelveli,Virudhunagar,5,Train,842
13-11-2024,28-11-2024,Tenali,Palakollu,4,Train,813
13-11-2024,08-12-2024,Chittoor,Ambur,5,Bus,847
11-10-2024,24-12-2024,Ramanathapuram,Bargur,2,Car,822
07-10-2024,26-11-2024,Chennai,Tuni,1,Car,778
13-10-2024,15-11-2024,Chilakaluripet,Sullurpet,3,Bus,960
29-11-2024,22-12-2024,Chidambaram,Kanchipuram,4,Car,763
16-10-2024,30-10-2024,Arakkonam,Madurai,5,Bus,828
30-09-2024,09-10-2024,Virudhunagar,Tiruvannamalai,4,Train,762
01-10-2024,30-10-2024,Machilipatnam,Karaikal,5,Bus,887
23-12-2024,04-01-2025,Hindupur,Madhuranthagam,2,Train,807
25-10-2024,31-10-2024,Tanjore,Proddatur,4,Train,897
10-10-2024,29-10-2024,Srikakulam,Tiruchirappalli,2,Car,819
20-10-2024,16-12-2024,Vikramshila,Kadapa,1,Car,949
04-12-2024,25-12-2024,Karur,Cuddalore,3,Train,765
07-12-2024,06-01-2025,Bargur,Sullurpet,3,Bus,997
30-10-2024,11-12-2024,Ambur,Srikakulam,2,Car,787
26-10-2024,04-11-2024,Thoothukudi,Proddatur,4,Bus,926
24-11-2024,26-12-2024,Adoni,Narasapuram,5,Bus,957
07-10-2024,15-11-2024,Rameswaram,Bhimavaram,4,Train,898
28-12-2024,06-01-2025,Sivagangai,Amaravati,5,Train,1025
20-10-2024,24-12-2024,Rameswaram,Nagapattinam,1,Bus,1022
15-11-2024,19-12-2024,Nagari,Muthur,5,Bus,786
23-10-2024,21-12-2024,Hosur,Hindupur,1,Train,827
23-10-2024,02-12-2024,Chennai,Cuddalore,2,Train,855
08-10-2024,14-10-2024,Kallakurichi,Kallakurichi,3,Train,899
03-10-2024,04-10-2024,Tuni,Eluru,1,Bus,809
21-11-2024,27-12-2024,Tirupur,Tirunelveli,3,Train,802
06-11-2024,09-11-2024,Madanapalle,Thoothukudi,5,Car,756
10-11-2024,28-11-2024,Nagapattinam,Ongole,5,Train,997
26-12-2024,30-12-2024,Mettur,Puttur,5,Car,856
06-10-2024,09-10-2024,Mudhaliarpet,Nandyal,1,Train,946
21-10-2024,13-12-2024,Ramanathapuram,Vijayawada,4,Car,872
04-10-2024,30-12-2024,Nandyal,Nagari,1,Train,799
15-10-2024,22-11-2024,Hindupur,Nagari,1,Bus,834
20-11-2024,01-12-2024,Salem,Visakhapatnam,4,Bus,835
03-11-2024,18-11-2024,Nellore,Hindupur,1,Bus,942
01-10-2024,06-11-2024,Palakollu,Ongole,4,Train,778
11-11-2024,11-12-2024,Amaravati,Salem,3,Bus,785
18-10-2024,03-11-2024,Palakollu,Nandyal,3,Train,823
14-11-2024,28-12-2024,Proddatur,Tanuku,5,Train,818
11-11-2024,29-12-2024,Palakollu,Gudivada,3,Train,842
17-10-2024,24-10-2024,Kadapa,Tanuku,5,Train,750
24-12-2024,26-12-2024,Coimbatore,Markapur,1,Bus,765
17-12-2024,01-01-2025,Chilakaluripet,Srikakulam,3,Train,770
02-11-2024,27-11-2024,Kurnool,Chittoor,2,Bus,938
04-10-2024,15-10-2024,Kakinada,Vizianagaram,4,Train,755
09-10-2024,07-12-2024,Puttur,Guntur,2,Car,792
25-10-2024,05-11-2024,Vijayawada,Machilipatnam,2,Train,863
06-10-2024,10-12-2024,Kurnool,Salem,2,Train,984
06-11-2024,27-12-2024,Palakollu,Anantapur,3,Car,817
16-10-2024,14-12-2024,Adoni,Srikakulam,4,Bus,787
04-10-2024,19-10-2024,Tuni,Kurnool,5,Car,798
15-10-2024,12-12-2024,Amaravati,Vizianagaram,3,Bus,821
25-11-2024,25-12-2024,Anantapur,Kurnool,2,Train,866
11-10-2024,21-11-2024,Guntur,Visakhapatnam,4,Car,886
05-12-2024,29-12-2024,Vizianagaram,Markapur,5,Train,775
06-11-2024,06-12-2024,Tenali,Kurnool,2,Bus,875
27-10-2024,10-11-2024,Visakhapatnam,Kadapa,4,Bus,1002
29-10-2024,05-12-2024,Chennai,Visakhapatnam,2,Car,827
14-10-2024,18-12-2024,Madurai,Coimbatore,5,Car,773
16-10-2024,23-11-2024,Tenali,Nandyal,3,Bus,835
16-10-2024,19-12-2024,Tenali,Tekkali,3,Bus,811
03-10-2024,21-10-2024,Chennai,Tanuku,2,Car,846
23-10-2024,20-11-2024,Guntur,Tirupati,1,Train,763
13-11-2024,07-12-2024,Srikakulam,Coimbatore,3,Train,865
27-10-2024,16-11-2024,Sattenapalle,Salem,5,Car,1040
09-11-2024,29-11-2024,Bapatla,Amaravati,3,Car,1003
20-10-2024,07-11-2024,Chennai,Tadepalligudem,5,Car,943
08-11-2024,02-01-2025,Kadapa,Rajahmundry,4,Train,895
07-10-2024,22-10-2024,Nellore,Vizianagaram,4,Train,889
19-12-2024,03-01-2025,Tiruchirappalli,Sattenapalle,4,Bus,837
10-10-2024,28-11-2024,Visakhapatnam,Chennai,3,Car,767
02-10-2024,07-12-2024,Tirupati,Tanuku,2,Bus,819
10-11-2024,12-11-2024,Chittoor,Adoni,4,Bus,989
17-10-2024,30-12-2024,Vijayawada,Chilakaluripet,1,Car,800
19-10-2024,02-01-2025,Bhimavaram,Ongole,3,Bus,942
10-10-2024,17-10-2024,Tenali,Coimbatore,4,Car,841
01-10-2024,24-10-2024,Nandyal,Hindupur,3,Car,894
27-10-2024,02-12-2024,Tenali,Tenali,1,Bus,1038
15-12-2024,03-01-2025,Tadepalligudem,Rajahmundry,3,Car,898
19-10-2024,24-12-2024,Narasaraopet,Nellore,3,Bus,1001
24-10-2024,10-12-2024,Nandyal,Proddatur,2,Car,848
11-11-2024,14-12-2024,Kurnool,Coimbatore,4,Bus,756
02-10-2024,15-10-2024,Amaravati,Sattenapalle,4,Bus,765
29-11-2024,19-12-2024,Tuni,Anantapur,2,Bus,809
12-10-2024,07-12-2024,Narasaraopet,Anakapalle,2,Bus,1028
05-11-2024,17-11-2024,Nandyal,Anantapur,2,Bus,813
03-11-2024,03-01-2025,Guntur,Rajahmundry,1,Train,918
06-11-2024,19-12-2024,Madurai,Bhimavaram,5,Bus,824
31-10-2024,05-12-2024,Srikakulam,Sattenapalle,1,Train,884
12-10-2024,09-11-2024,Eluru,Tekkali,4,Train,979
18-11-2024,07-12-2024,Tanuku,Proddatur,1,Train,788
10-11-2024,05-12-2024,Tirupati,Vijayawada,1,Bus,1012
20-11-2024,23-12-2024,Madurai,Gudivada,1,Train,825
13-10-2024,31-12-2024,Tirupati,Salem,5,Train,941
18-10-2024,07-12-2024,Hindupur,Kakinada,4,Car,871
07-11-2024,25-11-2024,Anakapalle,Machilipatnam,1,Train,815
29-09-2024,02-11-2024,Bapatla,Puttur,3,Train,988
05-10-2024,28-11-2024,Markapur,Chittoor,5,Bus,977
29-12-2024,05-01-2025,Tiruchirappalli,Coimbatore,5,Bus,933
28-10-2024,29-12-2024,Tekkali,Salem,2,Bus,881
23-10-2024,27-10-2024,Sullurpet,Chilakaluripet,2,Car,821
23-10-2024,19-11-2024,Srikakulam,Tenali,3,Bus,752
21-11-2024,03-01-2025,Kakinada,Tiruchirappalli,5,Bus,845
18-12-2024,26-12-2024,Vinukonda,Kadapa,2,Car,851
30-09-2024,28-11-2024,Kurnool,Bhimavaram,5,Train,793
01-10-2024,24-10-2024,Srikakulam,Tadepalligudem,1,Train,778
29-11-2024,27-12-2024,Chennai,Proddatur,2,Bus,849
04-11-2024,13-12-2024,Tuni,Palakollu,3,Bus,839
19-10-2024,03-12-2024,Anakapalle,Narasaraopet,5,Car,963
06-10-2024,19-11-2024,Markapur,Tuni,5,Bus,1010
05-10-2024,17-12-2024,Markapur,Tadepalligudem,3,Bus,975
08-11-2024,30-11-2024,Vizianagaram,Amaravati,4,Car,879
16-11-2024,16-12-2024,Ongole,Madurai,2,Car,1023
04-12-2024,11-12-2024,Chennai,Machilipatnam,2,Bus,794
16-10-2024,05-11-2024,Tanuku,Sattenapalle,5,Bus,793
15-11-2024,27-11-2024,Chilakaluripet,Rajahmundry,3,Train,854
30-12-2024,01-01-2025,Sullurpet,Madanapalle,3,Bus,768
12-10-2024,16-11-2024,Tekkali,Gudivada,2,Train,952
01-10-2024,30-11-2024,Bapatla,Chennai,2,Train,777
15-11-2024,23-11-2024,Eluru,Visakhapatnam,5,Bus,880
18-10-2024,29-10-2024,Hindupur,Madanapalle,4,Bus,889
14-11-2024,16-12-2024,Vijayawada,Guntur,5,Bus,860
07-11-2024,28-12-2024,Kakinada,Tirupati,2,Train,826
14-10-2024,23-11-2024,Eluru,Proddatur,5,Bus,800
30-10-2024,30-11-2024,Chennai,Narasaraopet,3,Train,879
14-11-2024,21-12-2024,Narasaraopet,Anakapalle,2,Bus,875
07-11-2024,21-12-2024,Puttur,Anakapalle,4,Car,797
08-11-2024,16-11-2024,Sullurpet,Machilipatnam,5,Car,803
01-11-2024,06-12-2024,Nagari,Eluru,1,Train,809
28-10-2024,10-11-2024,Chennai,Tekkali,4,Bus,822
16-11-2024,29-12-2024,Gudivada,Visakhapatnam,3,Bus,1039
09-11-2024,22-11-2024,Vijayawada,Chilakaluripet,5,Bus,947
02-10-2024,27-12-2024,Tenali,Markapur,3,Car,786
25-11-2024,23-12-2024,Anantapur,Salem,5,Car,832
12-10-2024,25-10-2024,Nellore,Guntur,2,Train,938
29-10-2024,17-11-2024,Madanapalle,Madanapalle,1,Train,885
10-11-2024,23-11-2024,Madanapalle,Gudivada,2,Bus,893
02-10-2024,27-12-2024,Guntur,Tenali,2,Car,757
29-11-2024,06-01-2025,Tadepalligudem,Ongole,2,Car,897
14-10-2024,03-11-2024,Tekkali,Kadapa,4,Bus,836
07-10-2024,27-12-2024,Kakinada,Tenali,4,Car,839
28-11-2024,10-12-2024,Tenali,Bhimavaram,1,Bus,858
20-10-2024,22-11-2024,Adoni,Tekkali,3,Train,917
18-10-2024,03-12-2024,Tuni,Tirupati,3,Bus,771
14-11-2024,01-01-2025,Markapur,Rajahmundry,5,Bus,871
01-11-2024,06-01-2025,Visakhapatnam,Markapur,1,Bus,833
27-11-2024,13-12-2024,Tanuku,Sullurpet,2,Bus,854
14-10-2024,22-12-2024,Sattenapalle,Salem,4,Bus,788
09-12-2024,19-12-2024,Chittoor,Markapur,1,Car,753
03-10-2024,22-10-2024,Tadepalligudem,Kurnool,4,Car,875
23-10-2024,25-12-2024,Tirupati,Madanapalle,4,Bus,766
21-11-2024,19-12-2024,Gudivada,Palakollu,5,Bus,795
05-10-2024,30-10-2024,Adoni,Coimbatore,1,Bus,984
23-12-2024,29-12-2024,Sattenapalle,Palakollu,5,Train,895
16-10-2024,05-01-2025,Tuni,Kakinada,4,Bus,796
10-10-2024,30-11-2024,Tirupati,Narasaraopet,4,Car,821
25-10-2024,13-12-2024,Palakollu,Nagari,3,Bus,833
22-10-2024,10-11-2024,Rajahmundry,Anantapur,5,Bus,891
08-10-2024,25-12-2024,Machilipatnam,Rajahmundry,5,Car,791
16-12-2024,03-01-2025,Kadapa,Madanapalle,4,Train,805
21-10-2024,23-10-2024,Eluru,Adoni,1,Bus,889
19-10-2024,19-11-2024,Kakinada,Tiruchirappalli,4,Train,996
23-12-2024,30-12-2024,Kadapa,Hindupur,3,Train,807
30-10-2024,15-12-2024,Kadapa,Chennai,4,Car,843
12-12-2024,19-12-2024,Kurnool,Eluru,5,Bus,751
26-11-2024,30-11-2024,Nagari,Nellore,4,Car,854
01-10-2024,09-11-2024,Madanapalle,Narasapuram,1,Bus,809
20-10-2024,22-12-2024,Puttur,Eluru,2,Car,931
30-09-2024,03-10-2024,Srikakulam,Salem,1,Bus,834
05-10-2024,14-11-2024,Madanapalle,Tirupati,5,Bus,979
10-10-2024,01-01-2025,Tadepalligudem,Bapatla,3,Bus,872
13-11-2024,25-11-2024,Tiruchirappalli,Chittoor,5,Car,869
13-12-2024,30-12-2024,Amaravati,Bhimavaram,3,Train,900
23-11-2024,21-12-2024,Sattenapalle,Bapatla,1,Car,1022
01-10-2024,26-10-2024,Chilakaluripet,Eluru,5,Bus,859
03-11-2024,04-11-2024,Eluru,Gudivada,3,Bus,911
06-11-2024,03-12-2024,Salem,Tekkali,4,Bus,824
15-10-2024,24-11-2024,Nandyal,Vinukonda,4,Bus,842
19-10-2024,19-11-2024,Tuni,Proddatur,4,Car,909
01-11-2024,15-11-2024,Tanuku,Kadapa,2,Car,797
09-10-2024,23-11-2024,Machilipatnam,Madanapalle,4,Train,775
03-10-2024,08-11-2024,Hindupur,Chennai,1,Bus,760
22-10-2024,16-11-2024,Nagari,Tanuku,1,Bus,897
13-11-2024,20-11-2024,Nellore,Sattenapalle,4,Bus,874
14-12-2024,16-12-2024,Tiruchirappalli,Salem,3,Car,998
01-10-2024,14-10-2024,Kurnool,Gudivada,4,Bus,768
01-10-2024,20-10-2024,Tuni,Vizianagaram,2,Car,782
09-11-2024,23-11-2024,Tirupati,Vinukonda,2,Train,999
01-11-2024,23-11-2024,Chilakaluripet,Narasaraopet,1,Bus,817
08-12-2024,27-12-2024,Anantapur,Tiruchirappalli,5,Car,1013
14-10-2024,20-12-2024,Guntur,Chennai,1,Bus,753
25-10-2024,24-12-2024,Puttur,Chilakaluripet,3,Train,863
16-10-2024,31-10-2024,Nellore,Nandyal,4,Bus,843
13-10-2024,06-12-2024,Kurnool,Eluru,4,Train,1015
13-10-2024,06-01-2025,Anakapalle,Vizianagaram,4,Car,913
30-12-2024,02-01-2025,Chittoor,Nagari,1,Bus,900
09-10-2024,30-12-2024,Sullurpet,Tekkali,3,Bus,833
04-10-2024,09-12-2024,Rajahmundry,Tanuku,1,Bus,802
12-10-2024,05-11-2024,Nandyal,Nagari,1,Bus,908
02-12-2024,19-12-2024,Gudivada,Kakinada,4,Car,804
01-10-2024,20-11-2024,Nandyal,Nellore,4,Car,873
10-11-2024,14-11-2024,Anakapalle,Kurnool,4,Bus,937
27-11-2024,15-12-2024,Gudivada,Tenali,4,Bus,851
12-10-2024,22-11-2024,Chilakaluripet,Puttur,5,Bus,933
02-10-2024,13-11-2024,Chilakaluripet,Coimbatore,4,Car,849
07-10-2024,21-11-2024,Vizianagaram,Tuni,4,Train,760
14-10-2024,01-01-2025,Tekkali,Eluru,2,Car,826
14-10-2024,06-12-2024,Vinukonda,Chittoor,1,Bus,825
20-10-2024,27-11-2024,Sattenapalle,Adoni,2,Bus,1024
20-10-2024,21-10-2024,Machilipatnam,Guntur,4,Train,977
02-11-2024,05-11-2024,Salem,Tadepalligudem,2,Train,890
17-11-2024,23-12-2024,Nandyal,Narasaraopet,2,Train,936
01-10-2024,19-11-2024,Chittoor,Salem,5,Train,834
19-10-2024,21-11-2024,Anantapur,Chilakaluripet,2,Car,1040
10-11-2024,17-12-2024,Tuni,Ongole,4,Bus,904
06-10-2024,27-11-2024,Salem,Gudivada,2,Train,1014
03-12-2024,13-12-2024,Madurai,Chittoor,5,Train,794
16-12-2024,04-01-2025,Chittoor,Machilipatnam,2,Bus,751
15-12-2024,19-12-2024,Vijayawada,Vijayawada,5,Train,1026
17-11-2024,02-12-2024,Gudivada,Adoni,3,Bus,936
15-10-2024,23-10-2024,Rajahmundry,Chilakaluripet,4,Train,849
03-10-2024,05-01-2025,Vinukonda,Kurnool,5,Car,788
18-10-2024,11-11-2024,Sullurpet,Vizianagaram,5,Car,766
09-10-2024,02-12-2024,Narasaraopet,Coimbatore,3,Bus,818
01-11-2024,19-11-2024,Chittoor,Tenali,2,Bus,772
31-10-2024,02-11-2024,Kakinada,Tadepalligudem,1,Bus,883
29-09-2024,09-12-2024,Coimbatore,Kurnool,3,Train,1008
13-12-2024,17-12-2024,Chittoor,Markapur,2,Bus,795
31-10-2024,16-12-2024,Kurnool,Salem,2,Train,771
14-11-2024,16-12-2024,Rajahmundry,Visakhapatnam,4,Train,789
19-12-2024,29-12-2024,Chennai,Anantapur,2,Bus,806
02-10-2024,20-10-2024,Anakapalle,Guntur,3,Car,783
19-10-2024,04-01-2025,Tanuku,Narasaraopet,1,Bus,901
05-10-2024,06-12-2024,Salem,Markapur,2,Car,960
12-11-2024,26-11-2024,Nagari,Kurnool,4,Car,754
02-10-2024,25-12-2024,Vijayawada,Puttur,4,Train,790
04-10-2024,17-10-2024,Bhimavaram,Hindupur,1,Bus,798
28-10-2024,04-11-2024,Anantapur,Bapatla,2,Bus,795
24-10-2024,03-11-2024,Guntur,Proddatur,1,Bus,786
28-11-2024,09-12-2024,Sattenapalle,Chennai,1,Bus,791
08-12-2024,05-01-2025,Kadapa,Tadepalligudem,2,Car,950
02-11-2024,05-01-2025,Vijayawada,Madurai,4,Train,955
13-10-2024,28-12-2024,Machilipatnam,Kadapa,4,Bus,915
30-10-2024,25-11-2024,Nandyal,Ongole,3,Bus,898
07-10-2024,20-11-2024,Narasaraopet,Tirupati,5,Bus,777
06-10-2024,20-12-2024,Sullurpet,Ongole,4,Train,939
20-11-2024,09-12-2024,Chennai,Ongole,4,Bus,870
13-10-2024,28-11-2024,Bapatla,Puttur,4,Car,1008
15-10-2024,24-12-2024,Vijayawada,Tadepalligudem,2,Car,848
01-11-2024,13-11-2024,Hindupur,Kadapa,2,Train,856
02-12-2024,03-12-2024,Anakapalle,Kakinada,4,Bus,896
05-10-2024,02-11-2024,Tiruchirappalli,Visakhapatnam,5,Bus,1011
03-11-2024,11-12-2024,Puttur,Nandyal,4,Car,937
07-10-2024,29-11-2024,Proddatur,Coimbatore,2,Train,855
22-12-2024,30-12-2024,Narasapuram,Rajahmundry,5,Bus,1001
08-10-2024,22-10-2024,Tadepalligudem,Amaravati,4,Train,850
03-10-2024,17-12-2024,Bhimavaram,Tenali,5,Bus,765
14-11-2024,29-11-2024,Tekkali,Madurai,4,Bus,862
17-11-2024,23-12-2024,Sullurpet,Palakollu,2,Bus,993
30-09-2024,01-01-2025,Tekkali,Machilipatnam,3,Car,885
18-11-2024,17-12-2024,Visakhapatnam,Vijayawada,5,Train,763
12-11-2024,04-01-2025,Amaravati,Tanuku,4,Car,803
18-11-2024,19-11-2024,Ongole,Visakhapatnam,3,Car,803
02-11-2024,25-12-2024,Nagari,Tenali,5,Car,923
13-10-2024,02-01-2025,Nagari,Amaravati,5,Car,904
08-10-2024,27-11-2024,Vijayawada,Tanuku,4,Train,840
26-10-2024,06-01-2025,Bapatla,Vizianagaram,4,Train,1005
06-11-2024,03-12-2024,Nandyal,Chilakaluripet,2,Car,815
10-12-2024,22-12-2024,Anantapur,Nagari,5,Bus,861
02-12-2024,30-12-2024,Puttur,Tekkali,5,Bus,770
10-12-2024,22-12-2024,Gudivada,Vizianagaram,2,Bus,820
15-11-2024,11-12-2024,Tenali,Puttur,3,Bus,877
27-10-2024,04-12-2024,Markapur,Anakapalle,3,Bus,891
27-10-2024,02-01-2025,Guntur,Kurnool,5,Bus,912
28-11-2024,15-12-2024,Puttur,Palakollu,3,Car,755
09-10-2024,15-12-2024,Guntur,Tenali,5,Train,808
05-11-2024,29-12-2024,Narasapuram,Adoni,3,Car,862
22-10-2024,23-11-2024,Kadapa,Vijayawada,2,Car,787
19-12-2024,24-12-2024,Kakinada,Vijayawada,3,Bus,771
04-10-2024,05-10-2024,Narasaraopet,Salem,3,Car,888
22-11-2024,16-12-2024,Nellore,Kakinada,2,Bus,858
26-11-2024,07-12-2024,Adoni,Sullurpet,2,Car,783
15-10-2024,01-12-2024,Vinukonda,Tuni,1,Bus,852
11-10-2024,03-01-2025,Bapatla,Adoni,3,Car,894
06-10-2024,18-11-2024,Madurai,Markapur,5,Bus,983
13-11-2024,26-12-2024,Machilipatnam,Guntur,4,Car,777
12-10-2024,26-10-2024,Bapatla,Chennai,2,Bus,933
23-10-2024,04-11-2024,Rajahmundry,Gudivada,1,Bus,819
31-10-2024,05-12-2024,Bapatla,Rajahmundry,2,Train,816
01-10-2024,29-10-2024,Kadapa,Chennai,4,Bus,793
22-10-2024,01-12-2024,Tadepalligudem,Tadepalligudem,5,Car,805
08-10-2024,10-12-2024,Madanapalle,Kadapa,4,Bus,759
19-11-2024,23-11-2024,Hindupur,Anantapur,4,Car,893
23-11-2024,20-12-2024,Tadepalligudem,Vinukonda,4,Bus,908
01-12-2024,11-12-2024,Salem,Narasaraopet,4,Bus,977
29-09-2024,02-01-2025,Sattenapalle,Hindupur,4,Train,994
25-11-2024,03-01-2025,Chilakaluripet,Narasapuram,4,Bus,880
24-11-2024,12-12-2024,Coimbatore,Chilakaluripet,4,Car,910
22-11-2024,27-11-2024,Adoni,Amaravati,3,Bus,774
03-11-2024,25-11-2024,Narasapuram,Puttur,4,Car,939
16-10-2024,09-12-2024,Sattenapalle,Narasapuram,3,Bus,898
08-11-2024,01-01-2025,Madurai,Vizianagaram,2,Train,874
02-11-2024,27-11-2024,Chilakaluripet,Vijayawada,4,Car,1003
31-10-2024,15-12-2024,Srikakulam,Palakollu,5,Train,756
21-10-2024,03-01-2025,Kadapa,Madanapalle,2,Train,751
01-12-2024,30-12-2024,Madanapalle,Rajahmundry,5,Bus,975
04-11-2024,16-12-2024,Puttur,Nellore,4,Bus,843
07-11-2024,12-11-2024,Puttur,Sullurpet,2,Car,805
02-12-2024,02-01-2025,Madurai,Eluru,2,Train,837
10-11-2024,06-01-2025,Madanapalle,Sullurpet,2,Bus,971
09-11-2024,04-01-2025,Chittoor,Bhimavaram,5,Car,949
08-11-2024,13-11-2024,Sullurpet,Coimbatore,5,Bus,841
24-11-2024,19-12-2024,Salem,Machilipatnam,2,Bus,943
23-11-2024,11-12-2024,Tenali,Vizianagaram,1,Bus,1016
14-10-2024,02-12-2024,Chittoor,Vinukonda,4,Car,841
01-10-2024,06-12-2024,Vijayawada,Coimbatore,1,Car,877
10-11-2024,28-11-2024,Anantapur,Madurai,4,Bus,951
15-11-2024,23-11-2024,Adoni,Bapatla,2,Bus,767
08-10-2024,23-11-2024,Nandyal,Visakhapatnam,5,Car,784
09-10-2024,29-10-2024,Rajahmundry,Tenali,4,Car,819
25-10-2024,29-11-2024,Vijayawada,Kakinada,1,Train,842
06-10-2024,11-11-2024,Chennai,Anakapalle,5,Car,1011
22-10-2024,06-12-2024,Rajahmundry,Tiruchirappalli,3,Train,768
